V1	Nodes	Betweenness_value	Degree_value	node_type	node_type_abbrev	WTC_membership
257	COG8	321.246280456826	10	Non-Hub-Non-Bottleneck	NHNB	5
258	COP1	3926.8194144043	44	Hub-Bottleneck	HB	6
259	COQ1	747.023088375301	8	Non-Hub-Non-Bottleneck	NHNB	28
260	COQ10	574.334570564378	6	Non-Hub-Non-Bottleneck	NHNB	8
261	COQ2	1047.29822404221	26	Non-Hub-Non-Bottleneck	NHNB	3
262	COQ8	80.7841476746887	3	Non-Hub-Non-Bottleneck	NHNB	8
263	COR1	13683.3473825387	62	Hub-Bottleneck	HB	23
264	COX1	1595.83987617831	29	Hub-Non-Bottleneck	HNB	23
265	COX11	255.929938443199	14	Non-Hub-Non-Bottleneck	NHNB	23
266	COX13	365.937144798403	22	Non-Hub-Non-Bottleneck	NHNB	23
267	COX14	3.97139591501054	4	Non-Hub-Non-Bottleneck	NHNB	23
268	COX17	390.253327801455	17	Non-Hub-Non-Bottleneck	NHNB	3
269	COX18	1823.52968382361	20	Non-Hub-Bottleneck	NHB	23
270	COX2	6493.68067525691	40	Hub-Bottleneck	HB	23
271	COX20	73.3266124528652	13	Non-Hub-Non-Bottleneck	NHNB	23
272	COX4	2389.81473228873	47	Hub-Bottleneck	HB	3
273	COX5A	973.672578070463	42	Hub-Non-Bottleneck	HNB	3
274	COX6	274.925665663794	24	Non-Hub-Non-Bottleneck	NHNB	23
275	COX8	140.364185975036	21	Non-Hub-Non-Bottleneck	NHNB	23
276	COY1	63.9652482153403	4	Non-Hub-Non-Bottleneck	NHNB	5
277	CPA2	564.463670913072	12	Non-Hub-Non-Bottleneck	NHNB	2
278	CPR1	4243.04486734475	57	Hub-Bottleneck	HB	14
279	CPR5	740.912912754921	6	Non-Hub-Non-Bottleneck	NHNB	15
280	CPR6	646.647051013524	15	Non-Hub-Non-Bottleneck	NHNB	4
281	CPR7	426.798434730609	12	Non-Hub-Non-Bottleneck	NHNB	4
282	CPT1	72.6551051299677	11	Non-Hub-Non-Bottleneck	NHNB	1
283	CRD1	2209.03888111499	18	Non-Hub-Bottleneck	NHB	1
284	CRM1	4966.81887587116	55	Hub-Bottleneck	HB	11
