rownames(topologies_lipid_stress_data_cluster_color)	Nodes	Betweenness_value	Degree_value	node_type	node_type_abbrev	WTC_membership	Cluster_number	Color
241	CLB1	5201.47147158359	79	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
242	CLB2	6410.017124612	95	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
243	CLB3	2774.91316487042	68	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
244	CLG1	834.746798865913	19	Non-Hub-Non-Bottleneck	NHNB	12	Cluster 12	#CCAA08
245	CLN2	3893.31926775062	56	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
246	CLP1	352.382440612483	21	Non-Hub-Non-Bottleneck	NHNB	2	Cluster 2	#736957
247	CMD1	4148.05490875022	39	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
248	CNA1	1758.7302276457	31	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
249	CNB1	1810.07970644667	33	Hub-Bottleneck	HB	4	Cluster 4	#8C703A
250	CNS1	337.926294085233	13	Non-Hub-Non-Bottleneck	NHNB	4	Cluster 4	#8C703A
251	COA3	888.00189185556	7	Non-Hub-Non-Bottleneck	NHNB	23	Cluster 23	#B9459A
252	COB	2588.17170836544	37	Hub-Bottleneck	HB	23	Cluster 23	#B9459A
253	COG2	625.70007473968	13	Non-Hub-Non-Bottleneck	NHNB	5	Cluster 5	#99732C
254	COG3	265.047125561247	9	Non-Hub-Non-Bottleneck	NHNB	5	Cluster 5	#99732C
255	COG4	264.806786587595	9	Non-Hub-Non-Bottleneck	NHNB	5	Cluster 5	#99732C
256	COG6	260.926999264992	7	Non-Hub-Non-Bottleneck	NHNB	5	Cluster 5	#99732C
257	COG8	321.246280456826	10	Non-Hub-Non-Bottleneck	NHNB	5	Cluster 5	#99732C
258	COP1	3926.8194144043	44	Hub-Bottleneck	HB	6	Cluster 6	#A6761D
259	COQ1	747.023088375301	8	Non-Hub-Non-Bottleneck	NHNB	28	Cluster 28	#9D696C
260	COQ10	574.334570564378	6	Non-Hub-Non-Bottleneck	NHNB	8	Cluster 8	#C08B12
261	COQ2	1047.29822404221	26	Non-Hub-Non-Bottleneck	NHNB	3	Cluster 3	#806C49
262	COQ8	80.7841476746887	3	Non-Hub-Non-Bottleneck	NHNB	8	Cluster 8	#C08B12
263	COR1	13683.3473825387	62	Hub-Bottleneck	HB	23	Cluster 23	#B9459A
264	COX1	1595.83987617831	29	Hub-Non-Bottleneck	HNB	23	Cluster 23	#B9459A
265	COX11	255.929938443199	14	Non-Hub-Non-Bottleneck	NHNB	23	Cluster 23	#B9459A
266	COX13	365.937144798403	22	Non-Hub-Non-Bottleneck	NHNB	23	Cluster 23	#B9459A
267	COX14	3.97139591501054	4	Non-Hub-Non-Bottleneck	NHNB	23	Cluster 23	#B9459A
268	COX17	390.253327801455	17	Non-Hub-Non-Bottleneck	NHNB	3	Cluster 3	#806C49
269	COX18	1823.52968382361	20	Non-Hub-Bottleneck	NHB	23	Cluster 23	#B9459A
270	COX2	6493.68067525691	40	Hub-Bottleneck	HB	23	Cluster 23	#B9459A
