!Series_title	"Carbohydrate metabolism and the lager yeast transcriptome during brewery fermentation"
!Series_geo_accession	"GSE10205"
!Series_sample_id	"GSM257776 GSM257777 GSM257778 GSM257779 GSM257780 GSM257781 GSM257782 GSM257783 GSM257784 GSM257785 GSM257786 GSM257787 GSM257788 GSM257789 "
!Series_platform_id	"GPL2529"
!Series_platform_taxid	"4896"
!Series_platform_taxid	"4932"
!Series_sample_taxid	"4932"
!Sample_title	"Ferm_8h_A"	"Ferm_8h_B"	"Ferm_8h_C"	"Ferm_30h_A"	"Ferm_30h_C"	"Ferm_60h_A"	"Ferm_60h_B"	"Ferm_60h_C"	"Ferm_80h_A"	"Ferm_80h_B"	"Ferm_80h_C"	"Ferm_102h_A"	"Ferm_102h_B"	"Ferm_102h_C"
!Sample_geo_accession	"GSM257776"	"GSM257777"	"GSM257778"	"GSM257779"	"GSM257780"	"GSM257781"	"GSM257782"	"GSM257783"	"GSM257784"	"GSM257785"	"GSM257786"	"GSM257787"	"GSM257788"	"GSM257789"
!Sample_type	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_description "Ferm_8h_A"	"Ferm_8h_B"	"Ferm_8h_C"	"Ferm_30h_A"	"Ferm_30h_C"	"Ferm_60h_A"	"Ferm_60h_B"	"Ferm_60h_C"	"Ferm_80h_A"	"Ferm_80h_B"	"Ferm_80h_C"	"Ferm_102h_A"	"Ferm_102h_B"	"Ferm_102h_C"	
!Sample_platform_id	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"
!Sample_data_row_count	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"
!series_matrix_table_begin
"ID_REF"	"GSM257776"	"GSM257777"	"GSM257778"	"GSM257779"	"GSM257780"	"GSM257781"	"GSM257782"	"GSM257783"	"GSM257784"	"GSM257785"	"GSM257786"	"GSM257787"	"GSM257788"	"GSM257789"
"1769372_at"	4.224236994	1.729997351	6.512574238	7.742968791	2.059368799	5.359079037	4.743140071	14.17203079	1.669400636	10.73931364	5.555997803	7.02230441	16.06563135	14.90827686
"1769373_at"	119.0281686	173.302048	180.4745558	133.3646253	119.6660939	85.37346351	126.7007552	112.5004559	131.6287635	178.3069246	113.5982915	106.5894123	113.0714757	107.8708179
"1769374_at"	140.4772062	163.2329545	167.4568187	56.91932187	94.84921046	68.33021048	58.69774255	61.72518665	54.2474022	69.07016321	50.57505558	126.0394012	76.75373429	89.45912063
"1769375_at"	300.0331726	493.5046599	550.9595955	337.9882405	438.9240506	254.7029065	363.9273007	376.4565275	419.7641322	556.3499126	556.8386799	491.8320317	479.1481751	477.7776848
"1769376_at"	4.220871474	6.026908614	5.324912397	13.17358501	8.741824625	7.538554325	0.94935938	4.756083777	4.385519406	7.333373859	7.798070867	14.55407075	14.35006368	7.711861415
"1769377_at"	27.85764246	45.87401552	33.78574277	22.6011132	33.70980567	6.701639574	25.13349457	29.56379617	48.93976727	82.46937361	70.69461412	112.2025449	107.9978051	83.57096271
"1769378_at"	1351.255862	1646.970245	1776.092016	1181.714021	1767.718179	860.2592145	1462.149175	1473.290321	1044.409201	1274.396605	1196.220442	1231.675723	1247.804459	1284.082401
"1769379_at"	54.1156685	78.23409384	66.41180007	129.1895078	74.1000603	82.52313676	113.0009427	199.3074001	80.77494441	61.773815	92.85792113	91.91955672	107.2914137	94.78856155
"1769380_at"	1.795171821	2.103788572	7.407097854	2.488135061	1.075396188	0.646665575	2.894817414	2.920156236	1.167800311	0.257492441	7.268763811	11.65891843	3.014221346	19.47457819
"1769381_at"	9.634902056	2.453908249	10.1661445	15.03108004	0.771252004	0.803158974	2.117180118	1.195661346	1.477145178	1.542130086	1.733999972	11.91045939	15.54927846	5.028779756
"1769382_at"	5.743297924	4.682673915	1.732317844	1.054317039	9.720089726	8.638308773	6.325854165	13.82079145	0.922529531	3.636623736	5.675104737	7.155093766	11.23114691	8.342572359
"1769383_at"	256.6645687	400.561471	374.0961738	215.2230701	267.1528005	147.8003823	224.9466538	202.9421785	257.4669954	311.1090154	305.526328	284.427442	235.3196531	272.8092614
"1769384_at"	34.18677384	28.72631014	31.24031206	21.98522161	14.98421119	21.12964723	13.67155701	28.21152135	23.36504406	18.19115235	8.435103316	31.93373848	20.14325172	41.39235697
"1769385_at"	118.1079705	141.3199291	137.0810192	125.6279468	142.9597625	146.6834036	162.8661444	141.7046142	165.7886205	216.6254091	218.5621202	122.717451	118.1317248	123.2782635
"1769386_at"	0.780045162	0.693942813	1.13038893	0.787434169	0.748460297	0.631286133	0.905033233	0.659989258	4.187264368	0.44475484	0.781947009	0.869938235	1.172136906	0.685763853
"1769387_at"	1309.493756	1392.322371	1330.692858	884.8216147	1108.641044	775.7769474	862.1642109	847.4636818	612.8509523	868.7597787	865.6467009	531.8878531	471.3650217	441.7854307
"1769388_at"	67.63861222	111.6324314	109.4799644	70.66537898	126.4831246	52.01239201	86.70860084	64.60749102	122.4517239	162.3132021	143.2316381	158.9580507	134.1352175	140.4650225
"1769389_at"	2.612208222	11.02392479	13.43348195	7.314461206	7.35978597	0.410273522	1.291158309	11.35438835	0.948363565	3.686753568	4.315771991	8.076956176	2.65763238	1.394398452
"1769390_s_at"	4004.348375	3903.590904	3362.565771	2828.149198	3848.925848	2891.501943	2359.741422	2226.440693	3578.259275	3641.549619	3285.185501	2770.496752	2497.893908	2666.044392
"1769391_at"	10.48735853	7.358972795	14.03005998	20.52887268	10.57062573	2.46863595	11.67775899	13.67123634	9.150098381	10.82838144	11.2991171	8.251786227	3.196618637	18.11160407
"1769392_at"	197.5655457	126.817515	102.8460589	205.9136864	157.147713	125.9973134	90.37639547	141.1999725	176.3401163	147.9231891	101.4562205	201.5209941	184.6040674	156.7523399
"1769393_at"	24.06342418	48.72355891	24.09455446	33.66713497	33.84409575	7.575788232	9.65239857	23.20883267	25.23821486	7.669870127	13.47236859	36.27232393	7.511504724	22.37611555
"1769394_at"	1.540229233	1.579319533	1.565194966	3.332262338	1.871392191	0.947627541	0.761249941	0.980629633	3.487389402	0.54108128	1.638094051	3.391454213	3.222186106	2.184991624
"1769395_at"	959.2429089	1009.908743	1075.813028	1510.485094	1032.304566	1618.110439	1631.914745	1608.363238	1846.301263	2003.902491	2068.567192	1823.892612	1675.963482	1410.384639
"1769396_at"	23.25331797	15.4959153	2.47691304	36.26227672	26.63391019	22.1694737	17.65701046	3.480504993	19.47946443	9.085496104	12.35113361	4.996198023	23.75344928	46.40349602
