Gene	Feature	Mean_FC_12_6	SD_12_6	Mean_FC_20_6	SD_20_6	anova_f_value	p_value_12_6	q_value_12_6	p_value_20_6	q_value_20_6
YOR223W	YOR223W	1.36	0.15	1.55	0.15	0.0010	0.0031	0.0012	0.0006	0.0003
YOR224C	RPB8	0.75	0.10	0.68	0.08	0.0013	0.0080	0.0025	0.0014	0.0006
YOR226C	ISU2	0.12	0.03	0.11	0.04	0.0001	0.0000	0.0001	0.0001	0.0001
YOR227W	HER1	1.79	0.19	3.37	0.43	0.0000	0.0002	0.0002	0.0000	0.0000
YOR228C	YOR228C	1.92	0.20	5.07	1.12	0.0001	0.0002	0.0001	0.0001	0.0001
YOR229W	WTM2	1.35	0.57	0.93	0.26	0.0572	0.2895	0.0549	0.4638	0.0831
YOR230W	WTM1	2.45	0.21	3.48	0.26	0.0000	0.0000	0.0000	0.0000	0.0000
YOR232W	MGE1	1.12	0.06	1.21	0.07	0.0001	0.0117	0.0035	0.0021	0.0009
YOR233W	KIN4	0.49	0.41	1.05	0.52	0.1108	0.0645	0.0147	0.8137	0.1353
YOR234C	RPL33B	0.66	0.05	0.57	0.02	0.0000	0.0003	0.0002	0.0000	0.0000
YOR236W	DFR1	0.45	0.18	1.18	0.71	0.0049	0.0056	0.0019	0.8940	0.1465
YOR238W	YOR238W	0.78	0.07	1.03	0.14	0.0009	0.0038	0.0014	0.7670	0.1287
YOR239W	ABP140	0.70	0.09	0.81	0.06	0.0002	0.0031	0.0012	0.0046	0.0016
YOR241W	MET7	1.03	0.25	1.19	0.17	0.1018	0.9659	0.1563	0.0600	0.0138
YOR243C	PUS7	0.56	0.04	0.51	0.07	0.0001	0.0000	0.0001	0.0004	0.0003
YOR244W	ESA1	1.35	0.87	1.23	0.88	0.5046	0.6040	0.1046	0.9682	0.1566
YOR246C	YOR246C	0.82	0.24	0.49	0.11	0.0016	0.1215	0.0256	0.0019	0.0008
YOR250C	CLP1	0.95	0.05	1.19	0.09	0.0002	0.0748	0.0168	0.0073	0.0024
YOR251C	TUM1	0.82	0.05	0.86	0.07	0.0027	0.0031	0.0012	0.0151	0.0043
YOR252W	TMA16	0.49	0.17	0.31	0.03	0.0000	0.0099	0.0030	0.0000	0.0000
YOR253W	NAT5	0.77	0.05	0.84	0.09	0.0007	0.0006	0.0003	0.0193	0.0053
YOR254C	SEC63	0.81	0.04	0.68	0.06	0.0007	0.0007	0.0004	0.0007	0.0004
YOR257W	CDC31	0.96	0.08	1.10	0.17	0.0103	0.3170	0.0596	0.2825	0.0538
YOR259C	RPT4	1.03	0.08	1.05	0.09	0.4434	0.5101	0.0903	0.2847	0.0541
YOR260W	GCD1	0.58	0.03	0.63	0.05	0.0000	0.0000	0.0000	0.0003	0.0002
YOR261C	RPN8	0.97	0.01	1.02	0.03	0.0003	0.0019	0.0008	0.1553	0.0318
YOR262W	YOR262W	0.52	0.05	0.61	0.05	0.0001	0.0002	0.0001	0.0002	0.0001
YOR265W	RBL2	1.04	0.06	1.07	0.15	0.3413	0.3017	0.0570	0.3304	0.0618
YOR266W	PNT1	0.92	0.55	1.94	1.27	0.1772	0.4678	0.0837	0.1826	0.0366
YOR267C	HRK1	1.23	0.18	1.64	0.14	0.0003	0.0346	0.0087	0.0002	0.0002
