Gene	Feature	Mean_FC_12_6	SD_12_6	Mean_FC_20_6	SD_20_6	anova_f_value	p_value_12_6	q_value_12_6	p_value_20_6	q_value_20_6
YJL097W	PHS1	1.02	0.13	1.16	0.15	0.1511	0.8192	0.1361	0.0883	0.0194
YJL098W	SAP185	0.22	0.03	0.24	0.06	0.0000	0.0000	0.0000	0.0002	0.0001
YJL101C	GSH1	1.06	0.04	0.70	0.03	0.0000	0.0197	0.0054	0.0001	0.0001
YJL102W	MEF2	1.44	0.08	3.87	0.58	0.0001	0.0001	0.0001	0.0000	0.0001
YJL103C	GSM1	8.49	2.44	21.18	5.50	0.0000	0.0001	0.0001	0.0000	0.0000
YJL104W	PAM16	1.20	0.68	1.70	0.58	0.0728	0.8723	0.1435	0.0451	0.0108
YJL109C	UTP10	0.53	0.02	0.41	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YJL110C	GZF3	0.33	0.10	0.31	0.15	0.0009	0.0009	0.0005	0.0046	0.0016
YJL111W	CCT7	0.76	0.07	0.70	0.03	0.0000	0.0026	0.0010	0.0000	0.0001
YJL112W	MDV1	1.16	0.20	2.21	0.26	0.0000	0.1345	0.0280	0.0001	0.0001
YJL115W	ASF1	0.96	0.16	1.06	0.09	0.1407	0.5049	0.0896	0.2463	0.0477
YJL117W	PHO86	0.91	0.05	0.90	0.02	0.0002	0.0197	0.0054	0.0008	0.0004
YJL121C	RPE1	0.99	0.06	1.05	0.08	0.0104	0.7976	0.1330	0.2646	0.0508
YJL122W	ALB1	0.23	0.02	0.17	0.01	0.0000	0.0000	0.0000	0.0000	0.0000
YJL123C	MTC1	0.88	0.09	1.12	0.16	0.0001	0.0461	0.0110	0.1879	0.0376
YJL124C	LSM1	0.84	0.03	1.02	0.07	0.0006	0.0007	0.0004	0.5175	0.0915
YJL125C	GCD14	0.56	0.06	0.53	0.06	0.0005	0.0003	0.0002	0.0004	0.0002
YJL128C	PBS2	0.91	0.10	1.25	0.14	0.0003	0.0950	0.0206	0.0133	0.0039
YJL130C	URA2	2.06	0.13	1.99	0.22	0.0000	0.0000	0.0000	0.0001	0.0001
YJL132W	YJL132W	2.45	0.39	3.52	1.00	0.0003	0.0002	0.0001	0.0004	0.0003
YJL133C-A	YJL133C-A	1.08	0.30	4.39	0.91	0.0000	0.6730	0.1149	0.0001	0.0001
YJL136C	RPS21B	0.86	0.11	0.72	0.05	0.0011	0.0480	0.0114	0.0006	0.0003
YJL137C	GLG2	1.87	0.49	8.26	2.50	0.0002	0.0065	0.0021	0.0002	0.0001
YJL138C	TIF2	0.81	0.06	0.75	0.05	0.0006	0.0031	0.0012	0.0010	0.0005
YJL140W	RPB4	0.90	0.02	1.03	0.04	0.0001	0.0003	0.0002	0.2208	0.0433
YJL141C	YAK1	0.96	0.23	0.92	0.26	0.5059	0.6086	0.1052	0.4150	0.0754
YJL145W	SFH5	0.72	0.05	0.71	0.05	0.0006	0.0004	0.0002	0.0004	0.0003
YJL146W	IDS2	0.71	0.18	1.57	0.48	0.0007	0.0270	0.0070	0.0353	0.0088
YJL148W	RPA34	0.36	0.04	0.34	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YJL151C	SNA3	1.05	0.25	1.29	0.37	0.2372	0.7928	0.1324	0.1787	0.0359
YJL153C	INO1	1.16	0.37	18.10	5.77	0.0000	0.5537	0.0971	0.0000	0.0001
YJL154C	VPS35	1.01	0.07	1.10	0.09	0.0376	0.9000	0.1473	0.0582	0.0135
YJL155C	FBP26	1.66	0.19	2.81	0.43	0.0001	0.0007	0.0004	0.0001	0.0001
YJL156C	SSY5	0.10	0.05	0.07	0.04	0.0005	0.0029	0.0011	0.0007	0.0004
YJL158C	CIS3	1.11	0.30	0.92	0.10	0.0827	0.5027	0.0892	0.1592	0.0325
YJL159W	HSP150	1.02	0.10	1.53	0.06	0.0000	0.7383	0.1245	0.0000	0.0000
YJL161W	FMP33	2.65	1.38	11.27	3.11	0.0001	0.0118	0.0035	0.0000	0.0001
YJL164C	TPK1	3.41	0.88	3.99	1.25	0.0005	0.0006	0.0003	0.0007	0.0004
YJL165C	HAL5	1.29	0.21	1.45	0.18	0.0038	0.0221	0.0059	0.0030	0.0011
YJL166W	QCR8	0.97	0.08	2.58	0.21	0.0000	0.4354	0.0786	0.0000	0.0000
YJL167W	ERG20	1.75	0.14	1.53	0.17	0.0001	0.0001	0.0001	0.0009	0.0005
YJL168C	SET2	0.62	0.07	0.51	0.04	0.0000	0.0006	0.0003	0.0000	0.0001
YJL171C	YJL171C	1.72	0.20	1.60	0.15	0.0006	0.0005	0.0003	0.0004	0.0002
YJL172W	CPS1	2.09	0.15	2.45	0.21	0.0000	0.0000	0.0000	0.0000	0.0000
YJL173C	RFA3	0.71	0.06	0.84	0.04	0.0015	0.0011	0.0005	0.0012	0.0006
YJL176C	SWI3	0.79	0.06	1.08	0.13	0.0001	0.0021	0.0009	0.2173	0.0427
YJL177W	RPL17B	0.72	0.16	0.62	0.09	0.0030	0.0221	0.0059	0.0018	0.0008
YJL178C	ATG27	1.00	0.09	0.92	0.12	0.1361	0.9725	0.1572	0.1740	0.0351
YJL179W	PFD1	0.81	0.26	0.72	0.26	0.1280	0.1434	0.0296	0.0880	0.0193
YJL180C	ATP12	2.32	0.61	3.53	0.63	0.0001	0.0022	0.0009	0.0001	0.0001
YJL183W	MNN11	0.70	0.05	0.69	0.04	0.0002	0.0005	0.0003	0.0002	0.0002
YJL184W	GON7	0.92	0.15	1.21	0.22	0.0004	0.2280	0.0445	0.0776	0.0173
YJL186W	MNN5	0.67	0.09	0.53	0.08	0.0004	0.0023	0.0009	0.0009	0.0004
YJL189W	RPL39	0.69	0.07	0.60	0.09	0.0006	0.0011	0.0005	0.0016	0.0007
YJL190C	RPS22A	0.71	0.08	0.59	0.03	0.0000	0.0018	0.0008	0.0000	0.0000
YJL192C	SOP4	0.87	0.28	0.85	0.11	0.0362	0.2350	0.0457	0.0370	0.0092
YJL196C	ELO1	1.19	0.12	1.15	0.18	0.0279	0.0169	0.0047	0.1139	0.0242
YJL197W	UBP12	0.89	0.04	0.87	0.09	0.0046	0.0040	0.0014	0.0437	0.0105
YJL198W	PHO90	0.37	0.04	0.41	0.06	0.0000	0.0000	0.0000	0.0002	0.0002
YJL200C	ACO2	0.45	0.04	0.29	0.04	0.0000	0.0000	0.0000	0.0000	0.0000
YJL201W	ECM25	0.81	0.05	0.85	0.15	0.0015	0.0013	0.0006	0.1017	0.0219
YJL203W	PRP21	0.51	0.13	0.60	0.12	0.0045	0.0033	0.0012	0.0046	0.0016
YJL204C	RCY1	0.93	0.11	0.86	0.16	0.1459	0.2524	0.0487	0.1294	0.0270
YJL205C	NCE101	1.13	0.31	1.90	0.22	0.0002	0.4448	0.0801	0.0002	0.0002
YJL207C	LAA1	1.19	0.12	1.11	0.13	0.0138	0.0199	0.0054	0.1283	0.0268
YJL208C	NUC1	0.70	0.04	0.93	0.06	0.0000	0.0002	0.0002	0.0626	0.0143
YJL212C	OPT1	0.03	0.01	0.03	0.02	0.0000	0.0000	0.0000	0.0001	0.0001
YJL214W	HXT8	0.76	0.42	0.40	0.32	0.0824	0.1519	0.0312	0.0527	0.0124
YJL217W	REE1	1.13	0.15	2.04	0.19	0.0001	0.1025	0.0220	0.0001	0.0001
YJL218W	YJL218W	1.24	0.22	1.02	0.17	0.0822	0.0872	0.0192	0.9277	0.1512
YJR001W	AVT1	0.18	0.07	0.17	0.12	0.0010	0.0006	0.0003	0.0022	0.0009
YJR002W	MPP10	0.47	0.02	0.43	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YJR003C	YJR003C	0.61	0.08	0.64	0.09	0.0026	0.0015	0.0007	0.0024	0.0009
YJR005W	APL1	1.08	0.04	1.16	0.06	0.0035	0.0051	0.0018	0.0026	0.0010
YJR006W	POL31	0.75	0.10	0.86	0.14	0.0089	0.0079	0.0025	0.0982	0.0212
YJR007W	SUI2	0.88	0.04	0.85	0.06	0.0007	0.0030	0.0011	0.0053	0.0018
YJR008W	YJR008W	3.85	0.52	12.30	3.87	0.0000	0.0000	0.0000	0.0001	0.0001
YJR009C	TDH2	1.07	0.09	1.00	0.10	0.2185	0.1503	0.0309	0.8702	0.1432
YJR010C-A	SPC1	0.98	0.17	1.10	0.21	0.2849	0.6746	0.1152	0.3332	0.0623
YJR010W	MET3	1.38	0.16	1.27	0.06	0.0006	0.0042	0.0015	0.0005	0.0003
YJR014W	TMA22	0.73	0.09	0.82	0.07	0.0017	0.0038	0.0014	0.0062	0.0020
YJR016C	ILV3	0.76	0.03	0.70	0.05	0.0001	0.0001	0.0001	0.0004	0.0003
YJR017C	ESS1	1.15	0.23	1.32	0.18	0.0199	0.2253	0.0440	0.0116	0.0034
YJR019C	TES1	1.70	0.51	4.54	1.61	0.0015	0.0156	0.0044	0.0011	0.0005
YJR022W	LSM8	0.93	0.05	1.37	0.08	0.0003	0.0481	0.0114	0.0002	0.0002
YJR024C	MDE1	0.60	0.03	0.62	0.08	0.0000	0.0000	0.0001	0.0014	0.0006
YJR025C	BNA1	0.97	0.06	0.91	0.10	0.1906	0.3940	0.0721	0.1130	0.0240
YJR031C	GEA1	0.75	0.06	0.81	0.13	0.0022	0.0016	0.0007	0.0393	0.0096
YJR032W	CPR7	0.92	0.10	0.81	0.11	0.0194	0.1266	0.0265	0.0165	0.0046
YJR033C	RAV1	1.41	0.13	1.65	0.24	0.0023	0.0014	0.0006	0.0017	0.0007
YJR034W	PET191	1.10	0.22	2.08	0.36	0.0004	0.3874	0.0710	0.0008	0.0004
YJR040W	GEF1	0.93	0.05	0.83	0.04	0.0004	0.0273	0.0070	0.0007	0.0004
YJR041C	URB2	0.67	0.04	0.63	0.03	0.0000	0.0001	0.0001	0.0000	0.0000
YJR042W	NUP85	0.80	0.05	0.89	0.07	0.0002	0.0017	0.0007	0.0323	0.0082
YJR045C	SSC1	1.57	0.09	1.72	0.13	0.0000	0.0000	0.0001	0.0001	0.0001
YJR046W	TAH11	0.53	0.14	0.54	0.11	0.0054	0.0064	0.0021	0.0031	0.0012
YJR048W	CYC1	1.78	0.25	9.52	1.51	0.0000	0.0009	0.0005	0.0000	0.0000
YJR049C	UTR1	0.99	0.11	1.39	0.16	0.0013	0.7514	0.1264	0.0033	0.0012
YJR051W	OSM1	1.15	0.03	1.38	0.05	0.0001	0.0004	0.0002	0.0000	0.0000
YJR052W	RAD7	1.47	0.14	1.84	0.24	0.0007	0.0010	0.0005	0.0006	0.0003
YJR055W	HIT1	0.82	0.10	0.90	0.07	0.0263	0.0219	0.0059	0.0397	0.0097
YJR057W	CDC8	0.94	0.13	1.16	0.20	0.0424	0.3408	0.0635	0.1339	0.0279
YJR058C	APS2	0.87	0.10	1.15	0.18	0.0053	0.0592	0.0137	0.1305	0.0273
YJR059W	PTK2	1.30	0.06	1.49	0.13	0.0004	0.0003	0.0002	0.0005	0.0003
YJR060W	CBF1	0.96	0.11	1.27	0.11	0.0049	0.4262	0.0772	0.0029	0.0011
YJR062C	NTA1	1.16	0.21	1.71	0.20	0.0008	0.1956	0.0389	0.0007	0.0004
YJR063W	RPA12	0.36	0.02	0.30	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YJR064W	CCT5	0.63	0.10	0.53	0.04	0.0000	0.0027	0.0010	0.0000	0.0001
YJR065C	ARP3	1.25	0.04	1.35	0.10	0.0001	0.0001	0.0001	0.0007	0.0004
YJR066W	TOR1	0.74	0.31	0.58	0.36	0.0858	0.1094	0.0233	0.0557	0.0130
YJR067C	YAE1	0.73	0.11	0.80	0.04	0.0008	0.0081	0.0026	0.0008	0.0004
YJR068W	RFC2	0.83	0.06	0.76	0.04	0.0002	0.0036	0.0013	0.0003	0.0002
YJR069C	HAM1	0.92	0.07	0.87	0.06	0.0158	0.0534	0.0125	0.0096	0.0029
YJR070C	LIA1	0.44	0.07	0.34	0.03	0.0000	0.0003	0.0002	0.0000	0.0000
YJR072C	NPA3	0.49	0.09	0.45	0.07	0.0001	0.0009	0.0004	0.0003	0.0002
YJR073C	OPI3	2.54	0.21	3.27	0.44	0.0000	0.0000	0.0000	0.0000	0.0000
YJR074W	MOG1	1.52	0.58	1.65	0.66	0.0866	0.0806	0.0179	0.0876	0.0193
YJR075W	HOC1	0.56	0.06	0.55	0.07	0.0003	0.0002	0.0001	0.0006	0.0003
YJR076C	CDC11	0.79	0.06	0.91	0.12	0.0026	0.0026	0.0010	0.1663	0.0337
YJR077C	MIR1	1.51	0.12	3.86	0.33	0.0000	0.0003	0.0002	0.0000	0.0000
YJR078W	BNA2	1.56	0.20	2.14	0.37	0.0009	0.0016	0.0007	0.0009	0.0005
YJR080C	AIM24	1.89	0.25	3.56	0.37	0.0000	0.0006	0.0003	0.0000	0.0000
YJR083C	ACF4	0.86	0.56	1.00	0.18	0.4058	0.3256	0.0610	0.8868	0.1455
YJR084W	YJR084W	1.12	0.11	1.21	0.23	0.1115	0.0813	0.0180	0.1158	0.0245
YJR086W	STE18	0.65	0.07	0.43	0.05	0.0001	0.0010	0.0005	0.0001	0.0001
YJR088C	EMC2	0.93	0.08	0.96	0.06	0.1714	0.1155	0.0245	0.1752	0.0353
YJR091C	JSN1	1.92	0.30	1.92	0.13	0.0000	0.0009	0.0005	0.0000	0.0000
YJR092W	BUD4	0.38	0.05	0.53	0.05	0.0001	0.0001	0.0001	0.0001	0.0001
YJR093C	FIP1	0.55	0.12	0.69	0.13	0.0053	0.0036	0.0013	0.0114	0.0034
YJR094W-A	RPL43B	0.67	0.06	0.50	0.05	0.0001	0.0004	0.0002	0.0001	0.0001
YJR095W	SFC1	1.09	0.13	20.75	1.04	0.0000	0.1884	0.0377	0.0000	0.0000
YJR096W	YJR096W	1.94	0.15	2.73	0.37	0.0001	0.0000	0.0001	0.0001	0.0001
YJR098C	YJR098C	0.92	0.08	1.54	0.02	0.0000	0.0997	0.0215	0.0000	0.0000
YJR099W	YUH1	1.08	0.12	1.54	0.21	0.0013	0.2581	0.0497	0.0019	0.0008
YJR100C	AIM25	1.18	0.15	1.62	0.23	0.0006	0.0342	0.0086	0.0017	0.0007
YJR101W	RSM26	1.18	0.44	1.25	0.38	0.3380	0.5369	0.0945	0.2057	0.0407
YJR103W	URA8	3.30	0.04	3.55	0.44	0.0000	0.0000	0.0000	0.0000	0.0000
YJR104C	SOD1	1.51	0.17	1.60	0.12	0.0002	0.0016	0.0007	0.0001	0.0001
YJR105W	ADO1	0.87	0.04	0.80	0.06	0.0022	0.0027	0.0010	0.0025	0.0010
YJR109C	CPA2	0.76	0.04	0.81	0.04	0.0007	0.0004	0.0002	0.0011	0.0005
YJR111C	YJR111C	0.80	0.11	3.86	0.44	0.0000	0.0227	0.0060	0.0000	0.0000
YJR112W	NNF1	0.57	0.06	0.77	0.09	0.0004	0.0003	0.0002	0.0065	0.0021
YJR113C	RSM7	0.98	0.05	1.55	0.13	0.0005	0.4242	0.0769	0.0003	0.0002
YJR117W	STE24	0.85	0.05	0.80	0.06	0.0043	0.0029	0.0011	0.0031	0.0012
YJR121W	ATP2	1.65	0.10	4.34	0.17	0.0000	0.0000	0.0001	0.0000	0.0000
YJR123W	RPS5	0.67	0.05	0.56	0.06	0.0003	0.0002	0.0002	0.0002	0.0001
YJR124C	YJR124C	0.47	0.10	0.37	0.11	0.0025	0.0015	0.0007	0.0021	0.0009
YJR125C	ENT3	1.44	0.18	1.20	0.08	0.0027	0.0028	0.0011	0.0031	0.0012
YJR127C	RSF2	9.55	4.51	6.62	3.16	0.0007	0.0004	0.0003	0.0011	0.0005
YJR130C	STR2	1.31	0.26	3.65	1.38	0.0017	0.0583	0.0135	0.0015	0.0006
YJR131W	MNS1	1.02	0.07	1.01	0.07	0.8272	0.6214	0.1072	0.9312	0.1516
YJR132W	NMD5	0.82	0.03	0.75	0.05	0.0002	0.0001	0.0001	0.0007	0.0004
YJR133W	XPT1	1.14	0.09	1.48	0.10	0.0003	0.0232	0.0061	0.0002	0.0001
YJR134C	SGM1	1.16	0.12	1.60	0.22	0.0027	0.0294	0.0075	0.0016	0.0007
YJR135W-A	TIM8	1.26	0.13	1.90	0.18	0.0002	0.0084	0.0026	0.0001	0.0001
YJR137C	MET5	0.97	0.06	0.79	0.07	0.0057	0.3416	0.0636	0.0043	0.0015
YJR138W	IML1	0.68	0.09	0.95	0.26	0.0043	0.0027	0.0010	0.5280	0.0932
YJR139C	HOM6	1.08	0.08	1.06	0.07	0.1899	0.1220	0.0257	0.1218	0.0257
YJR140C	HIR3	0.62	0.13	0.58	0.21	0.0065	0.0093	0.0029	0.0429	0.0104
YJR142W	YJR142W	1.37	0.14	1.54	0.14	0.0004	0.0021	0.0008	0.0005	0.0003
YJR143C	PMT4	0.85	0.03	0.88	0.08	0.0007	0.0004	0.0003	0.0332	0.0084
YJR144W	MGM101	0.89	0.07	1.15	0.08	0.0145	0.0180	0.0050	0.0108	0.0032
YJR148W	BAT2	1.22	0.08	1.64	0.11	0.0001	0.0034	0.0012	0.0001	0.0001
YKL001C	MET14	1.19	0.23	1.03	0.11	0.0007	0.1800	0.0362	0.6889	0.1174
YKL002W	DID4	1.49	0.43	1.79	1.26	0.1017	0.0594	0.0137	0.1878	0.0376
YKL003C	MRP17	1.71	1.03	1.86	0.71	0.0367	0.1100	0.0234	0.0252	0.0066
YKL005C	BYE1	1.02	0.75	1.10	0.33	0.4886	0.6313	0.1087	0.7352	0.1240
YKL006W	RPL14A	0.58	0.10	0.49	0.04	0.0000	0.0015	0.0007	0.0000	0.0001
YKL007W	CAP1	1.30	0.11	1.41	0.14	0.0026	0.0028	0.0011	0.0016	0.0007
YKL008C	LAC1	0.78	0.14	0.91	0.10	0.0361	0.0256	0.0067	0.1362	0.0283
YKL009W	MRT4	0.44	0.02	0.40	0.04	0.0000	0.0000	0.0000	0.0000	0.0000
YKL010C	UFD4	0.92	0.04	0.64	0.05	0.0004	0.0117	0.0035	0.0002	0.0002
YKL011C	CCE1	0.97	0.30	1.43	0.35	0.0076	0.6549	0.1124	0.0437	0.0105
YKL013C	ARC19	1.39	0.14	1.63	0.16	0.0005	0.0015	0.0007	0.0004	0.0002
YKL014C	URB1	0.47	0.05	0.38	0.04	0.0001	0.0002	0.0001	0.0001	0.0001
YKL016C	ATP7	1.55	0.18	4.95	0.23	0.0000	0.0010	0.0005	0.0000	0.0000
YKL017C	HCS1	1.26	0.16	1.36	0.39	0.0285	0.0166	0.0046	0.1220	0.0257
YKL018W	SWD2	0.67	0.10	0.77	0.05	0.0015	0.0032	0.0012	0.0011	0.0005
YKL019W	RAM2	0.99	0.12	1.12	0.06	0.0175	0.7253	0.1226	0.0134	0.0039
YKL021C	MAK11	0.50	0.08	0.46	0.03	0.0000	0.0005	0.0003	0.0000	0.0000
YKL023W	YKL023W	1.11	0.06	2.04	0.33	0.0002	0.0158	0.0045	0.0007	0.0004
YKL024C	URA6	1.00	0.07	0.94	0.09	0.3461	0.9305	0.1515	0.2270	0.0443
YKL025C	PAN3	0.88	0.10	0.96	0.10	0.0755	0.0524	0.0123	0.4047	0.0738
YKL027W	YKL027W	0.73	0.03	0.86	0.06	0.0001	0.0001	0.0001	0.0075	0.0024
YKL028W	TFA1	0.86	0.08	0.93	0.07	0.0360	0.0213	0.0057	0.1126	0.0239
YKL029C	MAE1	0.68	0.04	0.68	0.03	0.0000	0.0001	0.0001	0.0001	0.0001
YKL032C	IXR1	0.86	0.05	1.18	0.05	0.0000	0.0052	0.0018	0.0010	0.0005
YKL033W-A	YKL033W-A	0.84	0.18	0.76	0.07	0.0007	0.1065	0.0228	0.0025	0.0010
YKL035W	UGP1	2.04	0.08	1.95	0.16	0.0000	0.0000	0.0000	0.0000	0.0001
YKL038W	RGT1	0.86	0.11	1.83	0.37	0.0041	0.0485	0.0115	0.0028	0.0011
YKL039W	PTM1	1.04	0.11	1.18	0.12	0.0386	0.5280	0.0932	0.0233	0.0062
YKL040C	NFU1	1.19	0.07	1.41	0.13	0.0010	0.0032	0.0012	0.0011	0.0005
YKL041W	VPS24	1.07	0.22	1.20	0.33	0.2386	0.5573	0.0976	0.2308	0.0449
YKL042W	SPC42	0.91	0.07	1.38	0.20	0.0005	0.0441	0.0106	0.0092	0.0029
YKL045W	PRI2	0.60	0.04	0.63	0.11	0.0001	0.0001	0.0001	0.0045	0.0016
YKL046C	DCW1	0.84	0.10	0.78	0.12	0.0293	0.0330	0.0083	0.0239	0.0063
YKL047W	YKL047W	0.74	0.03	0.87	0.06	0.0001	0.0001	0.0001	0.0112	0.0034
YKL053C-A	MDM35	4.61	2.42	4.88	2.24	0.0006	0.0028	0.0011	0.0011	0.0005
YKL054C	DEF1	0.82	0.13	0.82	0.14	0.0250	0.0416	0.0101	0.0451	0.0108
YKL056C	TMA19	0.75	0.03	0.69	0.06	0.0001	0.0001	0.0001	0.0008	0.0004
YKL057C	NUP120	0.84	0.05	1.08	0.09	0.0036	0.0038	0.0014	0.1106	0.0236
YKL058W	TOA2	0.81	0.13	0.89	0.13	0.0351	0.0451	0.0108	0.1102	0.0235
YKL059C	MPE1	0.84	0.05	0.87	0.07	0.0047	0.0028	0.0011	0.0173	0.0048
YKL060C	FBA1	1.12	0.12	1.01	0.07	0.1381	0.0813	0.0180	0.7463	0.1256
YKL061W	BLI1	1.94	0.90	2.34	1.36	0.0417	0.1053	0.0226	0.0293	0.0075
YKL063C	YKL063C	0.99	0.05	1.12	0.12	0.1240	0.7364	0.1242	0.0908	0.0199
YKL064W	MNR2	0.76	0.35	0.56	0.24	0.0463	0.1891	0.0378	0.0276	0.0071
YKL065C	YET1	1.81	0.19	2.04	0.24	0.0001	0.0002	0.0002	0.0001	0.0001
YKL065W-A	YKL065W-A	1.20	0.17	4.10	1.23	0.0005	0.0654	0.0149	0.0005	0.0003
YKL067W	YNK1	1.95	0.21	4.23	0.51	0.0000	0.0002	0.0001	0.0000	0.0000
YKL068W	NUP100	0.64	0.09	0.82	0.13	0.0005	0.0015	0.0007	0.0505	0.0119
YKL069W	YKL069W	1.09	0.19	1.30	0.14	0.0100	0.3840	0.0705	0.0061	0.0020
YKL073W	LHS1	0.88	0.08	0.80	0.07	0.0028	0.0220	0.0059	0.0049	0.0017
YKL074C	MUD2	0.42	0.08	0.44	0.08	0.0004	0.0004	0.0002	0.0005	0.0003
YKL077W	YKL077W	0.90	0.05	0.86	0.06	0.0087	0.0181	0.0050	0.0081	0.0026
YKL078W	DHR2	0.27	0.03	0.19	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YKL079W	SMY1	0.77	0.04	0.94	0.05	0.0008	0.0005	0.0003	0.0427	0.0103
YKL080W	VMA5	1.02	0.08	0.99	0.06	0.3431	0.5914	0.1028	0.6439	0.1106
YKL081W	TEF4	0.72	0.04	0.61	0.04	0.0001	0.0002	0.0001	0.0001	0.0001
YKL082C	RRP14	0.44	0.02	0.43	0.07	0.0000	0.0000	0.0000	0.0004	0.0002
YKL085W	MDH1	2.17	0.14	5.85	0.31	0.0000	0.0000	0.0000	0.0000	0.0000
YKL088W	CAB3	1.09	0.21	0.95	0.09	0.0344	0.4931	0.0877	0.2314	0.0450
YKL091C	YKL091C	2.05	0.11	2.50	0.26	0.0000	0.0000	0.0000	0.0000	0.0001
YKL092C	BUD2	0.71	0.05	0.83	0.04	0.0006	0.0005	0.0003	0.0007	0.0004
YKL094W	YJU3	1.23	0.27	1.42	0.15	0.0025	0.1195	0.0252	0.0018	0.0007
YKL095W	YJU2	0.85	0.09	1.23	0.19	0.0170	0.0238	0.0063	0.0398	0.0097
YKL099C	UTP11	0.34	0.02	0.26	0.04	0.0000	0.0000	0.0000	0.0001	0.0001
YKL100C	YKL100C	1.39	0.14	1.87	0.18	0.0002	0.0026	0.0010	0.0001	0.0001
YKL101W	HSL1	0.51	0.07	0.57	0.11	0.0007	0.0004	0.0003	0.0018	0.0008
YKL103C	LAP4	4.48	0.28	4.98	0.41	0.0000	0.0000	0.0000	0.0000	0.0000
YKL104C	GFA1	1.22	0.06	1.26	0.11	0.0010	0.0011	0.0005	0.0033	0.0012
YKL105C	YKL105C	0.79	0.18	1.03	0.10	0.0082	0.0553	0.0129	0.6237	0.1076
YKL106W	AAT1	0.60	0.09	0.57	0.11	0.0019	0.0014	0.0006	0.0035	0.0013
YKL110C	KTI12	0.66	0.10	0.59	0.05	0.0002	0.0023	0.0009	0.0001	0.0001
YKL112W	ABF1	0.75	0.06	0.97	0.11	0.0014	0.0010	0.0005	0.5546	0.0972
YKL113C	RAD27	0.56	0.02	0.60	0.04	0.0000	0.0000	0.0000	0.0000	0.0001
YKL114C	APN1	0.90	0.05	0.93	0.05	0.0193	0.0121	0.0036	0.0550	0.0128
YKL117W	SBA1	1.26	0.17	1.39	0.16	0.0051	0.0203	0.0055	0.0031	0.0012
YKL119C	VPH2	0.89	0.09	0.87	0.12	0.0997	0.0678	0.0154	0.0785	0.0175
YKL120W	OAC1	0.64	0.07	0.50	0.04	0.0001	0.0006	0.0003	0.0001	0.0001
YKL122C	SRP21	0.57	0.09	0.61	0.06	0.0008	0.0012	0.0006	0.0005	0.0003
YKL124W	SSH4	0.84	0.23	1.22	0.14	0.0038	0.1568	0.0320	0.0216	0.0058
YKL125W	RRN3	0.09	0.05	0.05	0.03	0.0008	0.0008	0.0004	0.0005	0.0003
YKL126W	YPK1	1.32	0.07	1.30	0.23	0.0005	0.0003	0.0002	0.0272	0.0070
YKL127W	PGM1	0.90	0.04	0.82	0.09	0.0042	0.0065	0.0021	0.0110	0.0033
YKL128C	PMU1	0.79	0.08	0.66	0.12	0.0089	0.0071	0.0023	0.0052	0.0018
YKL129C	MYO3	1.78	0.13	1.98	0.18	0.0001	0.0001	0.0001	0.0001	0.0001
YKL130C	SHE2	0.94	0.06	1.08	0.11	0.0005	0.1120	0.0238	0.2056	0.0407
YKL135C	APL2	1.04	0.12	1.19	0.08	0.0019	0.5324	0.0939	0.0054	0.0018
YKL138C	MRPL31	1.58	0.39	3.50	0.94	0.0009	0.0224	0.0060	0.0007	0.0004
YKL139W	CTK1	0.70	0.07	0.96	0.15	0.0006	0.0016	0.0007	0.5600	0.0980
YKL140W	TGL1	1.56	0.09	1.60	0.14	0.0001	0.0001	0.0001	0.0002	0.0002
YKL141W	SDH3	2.00	1.03	8.80	3.99	0.0002	0.0972	0.0211	0.0009	0.0004
YKL142W	MRP8	2.43	0.23	3.39	0.29	0.0000	0.0000	0.0000	0.0000	0.0000
YKL143W	LTV1	0.31	0.03	0.32	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YKL144C	RPC25	0.54	0.06	0.54	0.10	0.0002	0.0002	0.0002	0.0012	0.0005
YKL145W	RPT1	0.96	0.05	0.91	0.05	0.0207	0.1780	0.0358	0.0141	0.0040
YKL146W	AVT3	0.48	0.13	0.80	0.05	0.0012	0.0026	0.0010	0.0014	0.0006
YKL148C	SDH1	2.72	0.12	12.75	0.83	0.0000	0.0000	0.0000	0.0000	0.0000
YKL150W	MCR1	2.29	0.11	4.30	0.40	0.0000	0.0000	0.0000	0.0000	0.0000
YKL151C	YKL151C	2.57	0.25	3.62	0.39	0.0000	0.0000	0.0000	0.0000	0.0000
YKL152C	GPM1	1.17	0.09	1.07	0.09	0.0249	0.0144	0.0041	0.1745	0.0352
YKL154W	SRP102	0.87	0.11	0.82	0.10	0.0393	0.0550	0.0128	0.0237	0.0063
YKL155C	RSM22	1.18	0.42	0.75	0.38	0.1000	0.4926	0.0877	0.1949	0.0388
YKL157W	APE2	1.54	0.13	1.58	0.18	0.0006	0.0004	0.0002	0.0007	0.0004
YKL159C	RCN1	6.14	2.56	3.23	1.78	0.0005	0.0007	0.0004	0.0162	0.0046
YKL160W	ELF1	0.93	0.14	0.98	0.14	0.4305	0.2918	0.0553	0.6936	0.1181
