!Series_title	"Differential yeast gene transcription during brewery propagation"
!Series_geo_accession	"GSE16376"
!Series_sample_id	"GSM410831 GSM410832 GSM410833 GSM410834 GSM410835 GSM410836 GSM410837 GSM410838 GSM410839 GSM410840 GSM410841 GSM410842"
!Series_platform_id	"GPL2529"
!Series_platform_taxid	"4896"
!Series_platform_taxid	"4932"
!Series_sample_taxid	"27292"
!Sample_title	"Prop_0h_A"	"Prop_0h_B"	"Prop_0h_C"	"Prop_4h_A"	"Prop_4h_B"	"Prop_4h_C"	"Prop_8h_A"	"Prop_8h_B"	"Prop_8h_C"	"Prop_30h_A"	"Prop_30h_B"	"Prop_30h_C"
!Sample_geo_accession	"GSM410831"	"GSM410832"	"GSM410833"	"GSM410834"	"GSM410835"	"GSM410836"	"GSM410837"	"GSM410838"	"GSM410839"	"GSM410840"	"GSM410841"	"GSM410842"
!Sample_type	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_description	"Prop_0h_A"	"Prop_0h_B"	"Prop_0h_C"	"Prop_4h_A"	"Prop_4h_B"	"Prop_4h_C"	"Prop_8h_A"	"Prop_8h_B"	"Prop_8h_C"	"Prop_30h_A"	"Prop_30h_B"	"Prop_30h_C"
!Sample_platform_id	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"
!Sample_data_row_count	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"
!series_matrix_table_begin
"ID_REF"	"GSM410831"	"GSM410832"	"GSM410833"	"GSM410834"	"GSM410835"	"GSM410836"	"GSM410837"	"GSM410838"	"GSM410839"	"GSM410840"	"GSM410841"	"GSM410842"
"1769375_at"	176.604	490.445	889.755	203.691	197.934	196.237	61.9484	32.1178	24.5598	41.7782	91.2772	38.1059
"1769376_at"	9.19903	5.5493	5.46974	2.83079	2.51551	2.65188	4.25654	4.49788	4.93313	8.1103	7.98749	10.6295
"1769377_at"	30.2065	138.81	262.453	28.5993	19.5093	21.7538	85.946	86.042	36.7314	69.7911	172.534	131.641
"1769378_at"	548.585	2262.45	3500.19	749.876	720.209	740.732	176.207	88.6235	89.6401	160.135	189.193	152.311
"1769379_at"	64.6696	73.9877	87.8417	20.5225	22.9431	27.4991	238.697	285.811	137.394	315.47	294.612	499.478
"1769380_at"	0.3845	4.58191	3.12282	0.506049	0.12967	0.333283	0.58747	0.444752	3.05487	0.198427	3.52777	0.288237
"1769381_at"	7.26615	6.23063	1.25388	0.545379	2.34493	2.77085	14.3265	0.341469	2.97234	0.797409	1.43894	4.11378
"1769382_at"	10.9681	5.28834	7.51951	3.62324	0.681062	1.40781	3.42079	3.68157	6.01249	9.73444	9.02178	11.0522
"1769383_at"	138.513	263.232	401.773	130.133	125.407	135.623	44.2278	30.5941	24.8478	49.7985	78.5581	60.1325
"1769384_at"	24.7398	9.89136	27.0971	3.24689	6.4401	4.04792	80.6804	79.3552	43.726	80.5427	94.5841	111.019
"1769385_at"	45.0246	102.944	214.009	56.5309	58.9306	59.7206	31.3244	33.6961	23.9485	36.1836	49.1364	35.2683
"1769386_at"	0.783635	1.20346	0.664931	0.749517	0.177737	0.145333	0.430278	0.315265	0.192911	0.376612	0.389003	0.415368
"1769387_at"	264.975	276.751	691.421	416.911	414.088	449.296	27.7907	25.3308	18.5854	25.1178	32.1651	24.5214
"1769388_at"	42.9697	354.498	701.339	36.3244	39.716	38.3144	4.20015	15.6533	10.8322	18.8633	17.5257	17.1758
"1769389_at"	3.77466	1.71446	0.456599	0.232957	0.337987	0.147557	5.91132	1.14966	1.2119	3.97081	3.3712	3.89616
"1769390_s_at"	3997.9	3811.02	4080.63	1578.58	1678.48	1403.13	410.148	445.692	177.737	335.144	350.559	256.703
"1769391_at"	3.02717	10.5354	10.813	2.39688	0.142709	3.46229	11.3986	8.2858	7.59675	1.03066	12.9844	6.22342
"1769392_at"	173.768	70.1049	99.1319	29.5249	39.5352	39.2759	402.861	273.216	252.192	298.494	392.463	458.944
"1769393_at"	19.3542	9.63113	19.5426	3.09726	7.90302	4.48236	11.8142	8.93411	6.29467	5.75377	10.0208	14.2653
"1769394_at"	2.18549	0.756302	0.767803	0.439581	0.295312	0.612305	1.72588	2.17791	0.427512	1.41174	1.39043	2.11235
"1769395_at"	147.944	534.707	1003.54	217.118	198.505	201.495	52.1058	54.5679	40.3514	69.3914	83.0968	67.8007
"1769396_at"	20.4379	12.1636	7.83979	1.24835	3.49895	4.31276	3.22086	11.6251	15.3849	2.7138	9.80518	10.1845
"1769397_s_at"	8177.65	5527.97	6787.76	2548.83	2730.75	2512.7	3198.51	4193.79	844.741	925.263	1305.76	591.74
"1769398_at"	9.86921	1.22203	7.59664	1.4392	1.12027	0.752632	0.58621	0.371346	0.570077	0.330245	3.90557	6.28717
"1769399_at"	8.09808	8.92309	12.6297	3.20137	4.16438	2.31358	7.14701	0.67372	1.79393	10.4954	12.7172	7.59867
"1769400_at"	1.12354	1.56661	2.41261	4.57566	2.59796	0.723356	4.66936	6.08048	5.05622	6.91265	9.09882	5.41459
"1769401_at"	15.7611	1.22483	4.47435	0.689029	1.32931	1.84197	5.04055	1.77624	1.17228	1.47876	1.0482	1.49711
